oder_id,if_loaded,sku_counts,total_skuvolume,sku_average_volume,sku_length_var,sku_width_var,sku_height_var,aspect_ratio_var,vehicle_capacity,sku_length_avg,sku_width_avg,sku_height_avg,max_asr,vehicle_length,vehicle_width,vehicle_height,spare_capacity,sku_concentration
85,1,72,18.59899625,0.258319392,0.149797743,0.014546754,0.027475574,0.650749182,20.769,1.09875,0.450347222,0.497152778,4.204545455,4.2,2.15,2.3,2.17000375,5
86,1,70,17.62280922,0.251754417,0.18783302,0.038840691,0.108459743,1.215910053,21.358944,0.692542857,0.466628571,0.611,4.757575758,4.19,2.16,2.36,3.736134783,18
87,1,59,19.21104171,0.325610876,0.028061419,0.008385642,0.093706794,0.299963798,21.358944,0.650067797,0.540322034,0.888050847,3.482758621,4.19,2.16,2.36,2.14790229,5
88,0,37,18.73010838,0.506219145,0.014326083,0.033292836,0.341621622,0.698277631,21.358944,0.708567568,0.662594595,0.97,3.977777778,4.19,2.16,2.36,2.628835625,14
89,1,149,19.05155107,0.127862759,0.142535311,0.006018762,0.030986519,0.790728397,21.358944,0.751194631,0.329657718,0.417731544,7.428571429,4.19,2.16,2.36,2.307392934,9
90,1,98,18.70113867,0.190827946,0.080217896,0.015922823,0.107965162,1.029929784,21.358944,0.746959184,0.422744898,0.523204082,6,4.19,2.16,2.36,2.657805334,18
91,1,139,19.56394003,0.14074777,0.060920028,0.002683364,0.026409037,0.750946438,21.358944,0.80457554,0.376589928,0.452748201,3.482758621,4.19,2.16,2.36,1.795003968,7
92,1,58,17.72035923,0.305523435,0.087451067,0.033838798,0.301139545,0.589850184,21.358944,0.673396552,0.426827586,0.684155172,4.375,4.19,2.16,2.36,3.638584769,16
93,1,36,17.4590775,0.484974375,0.000347222,0.000170139,0.002067222,0.002979434,22.4322,0.726666667,0.675833333,0.988333333,1.591240876,4.2,2.18,2.45,4.9731225,2
94,1,118,17.948921,0.1521095,0.00030625,0.00005625,0.0289,0.231104297,21.252,0.9075,0.3725,0.45,3.303571429,4.2,2.2,2.3,3.303079,2
95,1,67,17.23030569,0.257168742,0.087947807,0.067036184,0.119230012,11.15932286,21.252,0.958791045,0.58658209,0.492671642,11.55555556,4.2,2.2,2.3,4.021694307,18
96,1,77,15.22722632,0.197756186,0.096222609,0.023683277,0.050217156,0.884671832,21.252,0.797961039,0.444246753,0.514558442,5.137931034,4.2,2.2,2.3,6.024773676,15
97,1,172,13.94850637,0.081095967,0.022365456,0.012876851,0.027008286,0.162371862,21.252,0.418622093,0.30355814,0.432395349,4.758241758,4.2,2.2,2.3,7.303493626,13
98,1,104,18.35456325,0.176486185,0.001610725,0.001822557,0.031246577,0.340328354,21.252,0.930576923,0.408221154,0.462740385,3.310344828,4.2,2.2,2.3,2.89743675,3
99,1,99,17.11484775,0.17287725,0,0,0,4.93E-32,20.286,0.51,0.455,0.745,1.637362637,4.2,2.3,2.1,3.17115225,1
100,1,300,17.08245,0.0569415,0,0,0,4.93E-32,20.286,0.35,0.33,0.493,1.493939394,4.2,2.3,2.1,3.20355,1
101,1,120,18.25314,0.1521095,0.00030625,0.00005625,0.0289,0.231104297,20.286,0.9075,0.3725,0.45,3.303571429,4.2,2.3,2.1,2.03286,2
